"country","pop2022","area","region","subregion"
"Vatican City","0.7990","1","Europe","Southern Europe"
"Tokelau","1.3780","12","Oceania","Polynesia"
"Niue","1.6220","260","Oceania","Polynesia"
"Falkland Islands","3.5390","12173","Americas","South America"
"Montserrat","4.9650","102","Americas","Caribbean"
"Saint Pierre and Miquelon","5.7590","242","Americas","Northern America"
"Saint Barthelemy","9.9450","21","Americas","Caribbean"
"Nauru","10.9030","21","Oceania","Micronesia"
"Wallis and Futuna","10.9820","142","Oceania","Polynesia"
"Tuvalu","12.0660","26","Oceania","Polynesia"
"Anguilla","15.2300","91","Americas","Caribbean"
"Cook Islands","17.5710","236","Oceania","Polynesia"
"Palau","18.2330","459","Oceania","Micronesia"
"British Virgin Islands","30.5960","151","Americas","Caribbean"
"Gibraltar","33.7040","6","Europe","Southern Europe"
"San Marino","34.0850","61","Europe","Southern Europe"
"Liechtenstein","38.3870","160","Europe","Western Europe"
"Saint Martin","39.7300","53","Americas","Caribbean"
"Turks and Caicos Islands","39.7410","948","Americas","Caribbean"
"Monaco","39.7830","2","Europe","Western Europe"
"Sint Maarten","43.9660","34","Americas","Caribbean"
"Faroe Islands","49.2330","1393","Europe","Northern Europe"
"Saint Kitts and Nevis","53.8710","261","Americas","Caribbean"
"American Samoa","55.0300","199","Oceania","Polynesia"
"Greenland","56.9730","2166086","Americas","Northern America"
"Northern Mariana Islands","58.2690","464","Oceania","Micronesia"
"Marshall Islands","60.0570","181","Oceania","Micronesia"
"Bermuda","61.9390","54","Americas","Northern America"
"Cayman Islands","67.2770","264","Americas","Caribbean"
"Dominica","72.3440","751","Americas","Caribbean"
"Andorra","77.4630","468","Europe","Southern Europe"
"Isle of Man","85.7320","572","Europe","Northern Europe"
"Seychelles","99.4260","452","Africa","Eastern Africa"
"Antigua and Barbuda","99.5090","442","Americas","Caribbean"
"United States Virgin Islands","103.9710","347","Americas","Caribbean"
"Aruba","107.6090","180","Americas","Caribbean"
"Tonga","107.7490","747","Oceania","Polynesia"
"Saint Vincent and the Grenadines","111.5510","389","Americas","Caribbean"
"Grenada","113.4750","344","Americas","Caribbean"
"Micronesia","117.4890","702","Oceania","Micronesia"
"Kiribati","123.4190","811","Oceania","Micronesia"
"Curacao","165.5290","444","Americas","Caribbean"
"Guam","171.5190","549","Oceania","Micronesia"
"Saint Lucia","185.1130","616","Americas","Caribbean"
"Samoa","202.2390","2842","Oceania","Polynesia"
"Sao Tome and Principe","227.6790","964","Africa","Middle Africa"
"French Polynesia","284.1640","4167","Oceania","Polynesia"
"Mayotte","286.2590","374","Africa","Eastern Africa"
"Barbados","288.0230","430","Americas","Caribbean"
"New Caledonia","290.9150","18575","Oceania","Melanesia"
"French Guiana","314.1690","83534","Americas","South America"
"Vanuatu","321.8320","12189","Oceania","Melanesia"
"Iceland","345.3930","103000","Europe","Northern Europe"
"Martinique","374.0870","1128","Americas","Caribbean"
"Guadeloupe","399.7940","1628","Americas","Caribbean"
"Bahamas","400.5160","13943","Americas","Caribbean"
"Belize","412.1900","22966","Americas","Central America"
"Malta","444.0330","316","Europe","Southern Europe"
"Brunei","445.4310","5765","Asia","South-Eastern Asia"
"Maldives","540.9850","300","Asia","Southern Asia"
"Cape Verde","567.6780","4033","Africa","Western Africa"
"Suriname","596.8310","163820","Americas","South America"
"Western Sahara","626.1610","266000","Africa","Northern Africa"
"Montenegro","627.9500","13812","Europe","Southern Europe"
"Luxembourg","642.3710","2586","Europe","Western Europe"
"Macau","667.4900","30","Asia","Eastern Asia"
"Solomon Islands","721.1590","28896","Oceania","Melanesia"
"Bhutan","787.9410","38394","Asia","Southern Asia"
"Guyana","794.0450","214969","Americas","South America"
"Comoros","907.4190","1862","Africa","Eastern Africa"
"Reunion","908.0610","2511","Africa","Eastern Africa"
"Fiji","909.4660","18272","Oceania","Melanesia"
"Djibouti","1016.0970","23200","Africa","Eastern Africa"
"Eswatini","1184.8170","17364","Africa","Southern Africa"
"Cyprus","1223.3870","9251","Europe","Eastern Europe"
"Mauritius","1274.7270","2040","Africa","Eastern Africa"
"Estonia","1321.9100","45227","Europe","Northern Europe"
"Timor-Leste","1369.4290","14874","Asia","South-Eastern Asia"
"Trinidad and Tobago","1406.5850","5130","Americas","Caribbean"
"Equatorial Guinea","1496.6620","28051","Africa","Middle Africa"
"Bahrain","1783.9830","765","Asia","Western Asia"
"Latvia","1848.8370","64559","Europe","Northern Europe"
"Guinea-Bissau","2063.3670","36125","Africa","Western Africa"
"Slovenia","2078.0340","20273","Europe","Southern Europe"
"North Macedonia","2081.3040","25713","Europe","Southern Europe"
"Lesotho","2175.6990","30355","Africa","Southern Africa"
"Gabon","2331.5330","267668","Africa","Middle Africa"
"Botswana","2441.1620","582000","Africa","Southern Africa"
"Gambia","2558.4820","10689","Africa","Western Africa"
"Namibia","2633.8740","825615","Africa","Southern Africa"
"Lithuania","2661.7080","65300","Europe","Northern Europe"
"Puerto Rico","2829.8120","8870","Americas","Caribbean"
"Albania","2866.3740","28748","Europe","Southern Europe"
"Armenia","2971.9660","29743","Asia","Western Asia"
"Qatar","2979.9150","11586","Asia","Western Asia"
"Jamaica","2985.0940","10991","Americas","Caribbean"
"Bosnia and Herzegovina","3249.3170","51209","Europe","Southern Europe"
"Mongolia","3378.0780","1564110","Asia","Eastern Asia"
"Uruguay","3496.0160","181034","Americas","South America"
"Eritrea","3662.2440","117600","Africa","Eastern Africa"
"Georgia","3968.7380","69700","Asia","Western Asia"
"Moldova","4013.1710","33846","Europe","Eastern Europe"
"Croatia","4059.2860","56594","Europe","Southern Europe"
"Kuwait","4380.3260","17818","Asia","Western Asia"
"Panama","4446.9640","75417","Americas","Central America"
"New Zealand","4898.2030","270467","Oceania","Australia and New Zealand"
"Mauritania","4901.9810","1030700","Africa","Western Africa"
"Central African Republic","5016.6780","622984","Africa","Middle Africa"
"Ireland","5020.1990","70273","Europe","Northern Europe"
"Costa Rica","5182.3540","51100","Americas","Central America"
"Liberia","5305.1170","111369","Africa","Western Africa"
"Oman","5323.9930","309500","Asia","Western Asia"
"Palestine","5345.5410","6220","Asia","Western Asia"
"Slovakia","5460.1930","49037","Europe","Eastern Europe"
"Norway","5511.3700","323802","Europe","Northern Europe"
"Finland","5554.9600","338424","Europe","Northern Europe"
"Republic of the Congo","5797.8050","342000","Africa","Middle Africa"
"Denmark","5834.9500","43094","Europe","Northern Europe"
"Singapore","5943.5460","710","Asia","South-Eastern Asia"
"Turkmenistan","6201.9430","488100","Asia","Central Asia"
"El Salvador","6550.3890","21041","Americas","Central America"
"Lebanon","6684.8490","10452","Asia","Western Asia"
